image_id,image_name,x_world,y_world,z_world,u_floorplan,v_floorplan,is_control_point
230,frame_000230.jpg,-2.0018786628791405,-0.04245239099487213,-3.66704161658331,1168.096970902282,3200.303025992731,0
231,frame_000231.jpg,-2.011320928870101,-0.033099971551546994,-3.7200217326036826,1169.811665207131,3218.0871822277295,0
232,frame_000232.jpg,-2.0082998773438603,-0.02012653148806587,-3.773599806890804,1175.5730503301836,3234.281786076256,0
233,frame_000233.jpg,-1.9573546438192535,-0.017488893407261365,-3.790937902711362,1193.4468667251763,3232.4057674390797,0
234,frame_000234.jpg,-1.9518253673333494,-0.00902431926849285,-3.823870624586385,1198.1648049406062,3241.8370364867533,1
235,frame_000235.jpg,-1.9336817884205588,-0.0048692883092416065,-3.8380370660733254,1205.2453544787952,3243.648669558943,0
236,frame_000236.jpg,-1.9142224504529897,0.004861412826260254,-3.854137648255125,1212.9205087475168,3245.87305446981,0
237,frame_000237.jpg,-1.89220459520296,0.009708028218969105,-3.8730483747177074,1221.6668152965954,3248.605008149503,0
238,frame_000238.jpg,-1.867653117384391,0.015340714023036096,-3.884375342304841,1230.5463898141104,3248.622925260098,0
239,frame_000239.jpg,-1.8394727952937653,0.02185751788190493,-3.888371441797359,1239.932761937813,3245.8492884198067,0
240,frame_000240.jpg,-1.8041377438402104,0.023765079686781494,-3.8916934051559475,1251.5511659268006,3241.8474561388775,0
241,frame_000241.jpg,-1.7708090791274507,0.03757965294751814,-3.9111641825528363,1263.971513213602,3243.1422416197383,0
242,frame_000242.jpg,-1.739915065632611,0.04297186414477192,-3.93404132699515,1275.9165650918872,3245.840753954257,0
243,frame_000243.jpg,-1.7084176927814985,0.05182878882912626,-3.9554026320211397,1287.9193135786081,3247.982978806033,0
244,frame_000244.jpg,-1.6434320907252895,0.06969326089180906,-3.9625966155295202,1309.3840436311766,3240.9596107352177,0
245,frame_000245.jpg,-1.5288391399890557,0.08096754935576457,-3.9356216558942085,1343.6857730235963,3216.2685211841635,0
246,frame_000246.jpg,-1.4960960737993867,0.09224226983380526,-3.9695860797813904,1357.2151956900366,3222.1439817339196,0
247,frame_000247.jpg,-1.4647969818536817,0.09810464846091019,-4.01540437152513,1371.342501570242,3231.903268244242,0
248,frame_000248.jpg,-1.4416775710622223,0.10849862577153267,-4.054092316382359,1382.2111441342947,3240.6150563431515,0
249,frame_000249.jpg,-1.407475309740824,0.11622469888607906,-4.098690695078218,1397.1594714415587,3249.5823275028324,0
